Tiempo(s)	Voltaje(V)
1.489999999999999991e+00	-4.653104847529903054e-01
1.500000000000000000e+00	-4.627368518849834800e-01
1.510000000000000009e+00	-4.530857286299578846e-01
1.520000000000000018e+00	-4.363571149879135191e-01
1.530000000000000027e+00	-4.106207863078452647e-01
1.540000000000000036e+00	-3.877797946042846888e-01
1.550000000000000044e+00	-3.819891206512693316e-01
1.560000000000000053e+00	-3.993611425103154033e-01
1.570000000000000062e+00	-4.260625835158862174e-01
1.580000000000000071e+00	-4.482601670024450868e-01
1.590000000000000080e+00	-4.611283313424792141e-01
1.600000000000000089e+00	-4.646670765359885991e-01
1.610000000000000098e+00	-4.662755970784928650e-01
1.620000000000000107e+00	-4.675624135124962777e-01
1.629999999999999893e+00	-4.704577504890039563e-01
1.639999999999999902e+00	-4.887948846735525876e-01
1.649999999999999911e+00	-5.302947146701626480e-01
1.659999999999999920e+00	-5.872363418748136610e-01
1.669999999999999929e+00	-6.026781390828546137e-01
1.679999999999999938e+00	-4.936204463010653853e-01
1.689999999999999947e+00	-2.024782281077932566e-01
1.699999999999999956e+00	2.134851841838099062e-01
1.709999999999999964e+00	4.888639010605402291e-01
1.719999999999999973e+00	3.946045972697902471e-01
1.729999999999999982e+00	-4.308497271267697215e-03
1.739999999999999991e+00	-4.212370218883734196e-01
1.750000000000000000e+00	-6.589763580705039203e-01
1.760000000000000009e+00	-6.966157387651037425e-01
1.770000000000000018e+00	-6.322749170649331063e-01
1.780000000000000027e+00	-5.512054817227181047e-01
1.790000000000000036e+00	-5.032715695560909808e-01
1.800000000000000044e+00	-4.868646600225474685e-01
1.810000000000000053e+00	-4.839693230460397899e-01
1.820000000000000062e+00	-4.839693230460397899e-01
1.830000000000000071e+00	-4.820390983950346708e-01
1.840000000000000080e+00	-4.830042107205372304e-01
1.850000000000000089e+00	-4.823608025035355240e-01
1.860000000000000098e+00	-4.820390983950346708e-01
1.870000000000000107e+00	-4.817173942865338176e-01
1.879999999999999893e+00	-4.810739860695321113e-01
1.889999999999999902e+00	-4.804305778525304049e-01
1.899999999999999911e+00	-4.762484244420193136e-01
1.909999999999999920e+00	-4.701360463805031031e-01
1.919999999999999929e+00	-4.559810656064655632e-01
1.929999999999999938e+00	-4.328183697944041342e-01
1.939999999999999947e+00	-4.077254493313375860e-01
1.949999999999999956e+00	-3.845627535192761570e-01
1.959999999999999964e+00	-3.781286713492590934e-01
1.969999999999999973e+00	-3.893883151467889547e-01
1.979999999999999982e+00	-4.128727150673512369e-01
1.989999999999999991e+00	-4.395741560729220510e-01
2.000000000000000000e+00	-4.595198107999749482e-01
2.009999999999999787e+00	-4.720662710315082222e-01
2.020000000000000018e+00	-4.781786490930244327e-01
2.029999999999999805e+00	-4.804305778525304049e-01
2.040000000000000036e+00	-4.813956901780329645e-01
2.049999999999999822e+00	-4.804305778525304049e-01
2.060000000000000053e+00	-4.804305778525304049e-01
2.069999999999999840e+00	-4.804305778525304049e-01
2.080000000000000071e+00	-4.788220573100261390e-01
2.089999999999999858e+00	-4.804305778525304049e-01
2.100000000000000089e+00	-4.781786490930244327e-01
2.109999999999999876e+00	-4.785003532015252858e-01
2.120000000000000107e+00	-4.785003532015252858e-01
2.129999999999999893e+00	-4.775352408760227263e-01
2.140000000000000124e+00	-4.781786490930244327e-01
2.149999999999999911e+00	-4.759267203335184604e-01
2.160000000000000142e+00	-4.768918326590210199e-01
2.169999999999999929e+00	-4.768918326590210199e-01
2.180000000000000160e+00	-4.752833121165167540e-01
2.189999999999999947e+00	-4.759267203335184604e-01
2.200000000000000178e+00	-4.752833121165167540e-01
2.209999999999999964e+00	-4.756050162250176072e-01
2.220000000000000195e+00	-4.749616080080159009e-01
2.229999999999999982e+00	-4.739964956825133413e-01
2.240000000000000213e+00	-4.739964956825133413e-01
2.250000000000000000e+00	-4.736747915740124881e-01
2.259999999999999787e+00	-4.730313833570107818e-01
2.270000000000000018e+00	-4.730313833570107818e-01
2.279999999999999805e+00	-4.723879751400090754e-01
2.290000000000000036e+00	-4.723879751400090754e-01
2.299999999999999822e+00	-4.723879751400090754e-01
2.310000000000000053e+00	-4.720662710315082222e-01
2.319999999999999840e+00	-4.723879751400090754e-01
2.330000000000000071e+00	-4.714228628145065159e-01
2.339999999999999858e+00	-4.704577504890039563e-01
2.350000000000000089e+00	-4.701360463805031031e-01
2.359999999999999876e+00	-4.698143422720022500e-01
2.370000000000000107e+00	-4.707794545975048095e-01
2.379999999999999893e+00	-4.698143422720022500e-01
2.390000000000000124e+00	-4.694926381635013968e-01
2.399999999999999911e+00	-4.691709340550005436e-01
2.410000000000000142e+00	-4.682058217294979841e-01
2.419999999999999929e+00	-4.694926381635013968e-01
2.430000000000000160e+00	-4.685275258379988372e-01
2.439999999999999947e+00	-4.685275258379988372e-01
2.450000000000000178e+00	-4.672407094039954245e-01
2.459999999999999964e+00	-4.669190052954945713e-01
2.470000000000000195e+00	-4.669190052954945713e-01
2.479999999999999982e+00	-4.669190052954945713e-01
2.490000000000000213e+00	-4.665973011869937181e-01
2.500000000000000000e+00	-4.611283313424792141e-01
2.509999999999999787e+00	-4.537291368469595909e-01
2.520000000000000018e+00	-4.357137067709118128e-01
2.529999999999999805e+00	-4.099773780908435583e-01
2.540000000000000036e+00	-3.881014987127855420e-01
2.549999999999999822e+00	-3.823108247597701848e-01
2.560000000000000053e+00	-3.990394384018145502e-01
2.569999999999999840e+00	-4.267059917328879237e-01
2.580000000000000071e+00	-4.485818711109459400e-01
2.589999999999999858e+00	-4.617717395594809204e-01
2.600000000000000089e+00	-4.653104847529903054e-01
2.609999999999999876e+00	-4.665973011869937181e-01
2.620000000000000107e+00	-4.678841176209971309e-01
2.629999999999999893e+00	-4.717445669230073690e-01
2.640000000000000124e+00	-4.904034052160568535e-01
2.649999999999999911e+00	-5.306164187786635011e-01
2.660000000000000142e+00	-5.865929336578119546e-01
2.669999999999999929e+00	-6.023564349743537605e-01
2.680000000000000160e+00	-4.920119257585611194e-01
2.689999999999999947e+00	-2.005480034567881376e-01
2.700000000000000178e+00	2.150937047263141721e-01
2.709999999999999964e+00	4.901507174945436418e-01
2.720000000000000195e+00	3.939611890527885407e-01
2.729999999999999982e+00	-6.882130139274522662e-03
2.740000000000000213e+00	-4.218804301053751260e-01
2.750000000000000000e+00	-6.583329498535022140e-01
2.759999999999999787e+00	-6.969374428736045957e-01
2.770000000000000018e+00	-6.309881006309296936e-01
2.779999999999999805e+00	-5.495969611802138388e-01
2.790000000000000036e+00	-5.026281613390892744e-01
2.799999999999999822e+00	-4.858995476970449090e-01
2.810000000000000053e+00	-4.833259148290380836e-01
2.819999999999999840e+00	-4.830042107205372304e-01
2.830000000000000071e+00	-4.826825066120363772e-01
2.839999999999999858e+00	-4.826825066120363772e-01
2.850000000000000089e+00	-4.817173942865338176e-01
2.859999999999999876e+00	-4.810739860695321113e-01
2.870000000000000107e+00	-4.820390983950346708e-01
2.879999999999999893e+00	-4.807522819610312581e-01
2.890000000000000124e+00	-4.801088737440295517e-01
2.899999999999999911e+00	-4.768918326590210199e-01
2.910000000000000142e+00	-4.698143422720022500e-01
2.919999999999999929e+00	-4.563027697149664164e-01
2.930000000000000160e+00	-4.331400739029049873e-01
2.939999999999999947e+00	-4.080471534398384392e-01
2.950000000000000178e+00	-3.858495699532795697e-01
2.959999999999999964e+00	-3.784503754577599466e-01
2.970000000000000195e+00	-3.900317233637906611e-01
2.979999999999999982e+00	-4.135161232843529433e-01
2.990000000000000213e+00	-4.408609725069254637e-01
3.000000000000000000e+00	-4.604849231254775077e-01
3.009999999999999787e+00	-4.730313833570107818e-01
3.020000000000000018e+00	-4.781786490930244327e-01
3.029999999999999805e+00	-4.801088737440295517e-01
3.040000000000000036e+00	-4.817173942865338176e-01
3.049999999999999822e+00	-4.817173942865338176e-01
3.060000000000000053e+00	-4.810739860695321113e-01
3.069999999999999840e+00	-4.813956901780329645e-01
3.080000000000000071e+00	-4.807522819610312581e-01
3.089999999999999858e+00	-4.817173942865338176e-01
3.100000000000000089e+00	-4.801088737440295517e-01
3.109999999999999876e+00	-4.804305778525304049e-01
3.120000000000000107e+00	-4.801088737440295517e-01
3.129999999999999893e+00	-4.794654655270278454e-01
3.140000000000000124e+00	-4.797871696355286986e-01
3.149999999999999911e+00	-4.788220573100261390e-01
3.160000000000000142e+00	-4.785003532015252858e-01
3.169999999999999929e+00	-4.785003532015252858e-01
3.180000000000000160e+00	-4.775352408760227263e-01
3.189999999999999947e+00	-4.785003532015252858e-01
3.200000000000000178e+00	-4.775352408760227263e-01
3.209999999999999964e+00	-4.765701285505201668e-01
3.220000000000000195e+00	-4.768918326590210199e-01
3.229999999999999982e+00	-4.756050162250176072e-01
3.240000000000000213e+00	-4.759267203335184604e-01
3.250000000000000000e+00	-4.756050162250176072e-01
3.259999999999999787e+00	-4.756050162250176072e-01
3.270000000000000018e+00	-4.749616080080159009e-01
3.279999999999999805e+00	-4.736747915740124881e-01
3.290000000000000036e+00	-4.733530874655116349e-01
3.299999999999999822e+00	-4.730313833570107818e-01
3.310000000000000053e+00	-4.720662710315082222e-01
3.319999999999999840e+00	-4.717445669230073690e-01
3.330000000000000071e+00	-4.714228628145065159e-01
3.339999999999999858e+00	-4.717445669230073690e-01
3.350000000000000089e+00	-4.711011587060056627e-01
3.359999999999999876e+00	-4.704577504890039563e-01
3.370000000000000107e+00	-4.707794545975048095e-01
3.379999999999999893e+00	-4.694926381635013968e-01
3.390000000000000124e+00	-4.704577504890039563e-01
3.399999999999999911e+00	-4.694926381635013968e-01
3.410000000000000142e+00	-4.691709340550005436e-01
3.419999999999999929e+00	-4.694926381635013968e-01
3.430000000000000160e+00	-4.678841176209971309e-01
3.439999999999999947e+00	-4.675624135124962777e-01
3.450000000000000178e+00	-4.678841176209971309e-01
3.459999999999999964e+00	-4.669190052954945713e-01
3.470000000000000195e+00	-4.675624135124962777e-01
3.479999999999999982e+00	-4.662755970784928650e-01
3.490000000000000213e+00	-4.662755970784928650e-01
3.500000000000000000e+00	-4.617717395594809204e-01
3.509999999999999787e+00	-4.540508409554604441e-01
3.520000000000000018e+00	-4.363571149879135191e-01
3.529999999999999805e+00	-4.099773780908435583e-01
3.540000000000000036e+00	-3.884232028212863952e-01
3.549999999999999822e+00	-3.819891206512693316e-01
3.560000000000000053e+00	-3.990394384018145502e-01
3.569999999999999840e+00	-4.267059917328879237e-01
3.580000000000000071e+00	-4.476167587854433805e-01
3.589999999999999858e+00	-4.620934436679817736e-01
3.600000000000000089e+00	-4.653104847529903054e-01
3.609999999999999876e+00	-4.662755970784928650e-01
3.620000000000000107e+00	-4.672407094039954245e-01
3.629999999999999893e+00	-4.714228628145065159e-01
3.640000000000000124e+00	-4.897599969990551472e-01
3.649999999999999911e+00	-5.312598269956652075e-01
3.660000000000000142e+00	-5.875580459833145142e-01
3.669999999999999929e+00	-6.023564349743537605e-01
3.680000000000000160e+00	-4.920119257585611194e-01
3.689999999999999947e+00	-1.999045952397864312e-01
3.700000000000000178e+00	2.170239293773192912e-01
3.709999999999999964e+00	4.885421969520393759e-01
3.720000000000000195e+00	3.929960767272859812e-01
3.729999999999999982e+00	-8.812354790279641747e-03
3.740000000000000213e+00	-4.244540629733819515e-01
3.750000000000000000e+00	-6.605848786130081862e-01
3.759999999999999787e+00	-6.982242593076080084e-01
3.770000000000000018e+00	-6.309881006309296936e-01
3.779999999999999805e+00	-5.505620735057163984e-01
3.790000000000000036e+00	-5.035932736645918339e-01
3.799999999999999822e+00	-4.862212518055457622e-01
3.810000000000000053e+00	-4.836476189375389367e-01
3.819999999999999840e+00	-4.830042107205372304e-01
3.830000000000000071e+00	-4.833259148290380836e-01
3.839999999999999858e+00	-4.833259148290380836e-01
3.850000000000000089e+00	-4.823608025035355240e-01
3.859999999999999876e+00	-4.823608025035355240e-01
3.870000000000000107e+00	-4.826825066120363772e-01
3.879999999999999893e+00	-4.817173942865338176e-01
3.890000000000000124e+00	-4.801088737440295517e-01
3.899999999999999911e+00	-4.768918326590210199e-01
3.910000000000000142e+00	-4.694926381635013968e-01
3.919999999999999929e+00	-4.550159532809630036e-01
3.930000000000000160e+00	-4.324966656859032810e-01
3.939999999999999947e+00	-4.074037452228367329e-01
3.950000000000000178e+00	-3.848844576277770102e-01
3.959999999999999964e+00	-3.778069672407582402e-01
3.970000000000000195e+00	-3.893883151467889547e-01
3.979999999999999982e+00	-4.119076027418486774e-01
3.990000000000000213e+00	-4.402175642899237573e-01
4.000000000000000000e+00	-4.595198107999749482e-01
4.009999999999999787e+00	-4.717445669230073690e-01
4.019999999999999574e+00	-4.785003532015252858e-01
4.030000000000000249e+00	-4.788220573100261390e-01
